,fit_time,score_time,test_score,train_score
Dummy Classifier,0.002 (+/- 0.001),0.001 (+/- 0.001),0.413 (+/- 0.006),0.413 (+/- 0.001)
Gaussian Bayes,0.003 (+/- 0.000),0.001 (+/- 0.000),0.598 (+/- 0.033),0.607 (+/- 0.004)
Decision Tree,0.005 (+/- 0.004),0.001 (+/- 0.001),0.822 (+/- 0.048),0.930 (+/- 0.004)
RBF SVM,0.019 (+/- 0.003),0.003 (+/- 0.001),0.699 (+/- 0.060),0.718 (+/- 0.006)
Logistic Regression,0.007 (+/- 0.003),0.001 (+/- 0.000),0.611 (+/- 0.048),0.616 (+/- 0.009)
